#SENTENCE_FROM_TWEET,LABEL,VERB,TARGET,ASPECT,AGENT_PERPETRATOR,PATIENT,SENTIMENT_OF_PATIENT,SENTIMENT_OF_AGENT_TOWARDS_PATIENT,AGENT_IS_NON-CONFORMISTIC
all gay people grope in public.,ABUSE,grope,Gays,NON_EPISODIC,PERPETRATOR,,,,_
lesbians hate bi girls.,ABUSE,hate,Gays,NON_EPISODIC,PERPETRATOR,bi girls,POSITIVE,NEGATIVE,NON-CONFORMISTIC
This Friday Night the Lesbians are haunting The Redbury Rooftop Lounge in Hollywood!,OTHER,haunt,Gays,EPISODIC,_,The Redbury Rooftop Lounge,POSITIVE,POSITIVE,_
gay people are disintegrating within a five mile radius.,ABUSE,disintegrate,Gays,EPISODIC,_,,,,_
Gay people swooning over the people killing them.,ABUSE,swoon,Gays,NON_EPISODIC,_,the people,POSITIVE,POSITIVE,_
gay people tear at the moral fabrics of our society.,ABUSE,tear,Gays,NON_EPISODIC,PERPETRATOR,the moral fabrics of our society,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay People Imperil Western Civilization.,ABUSE,imperil,Gays,NON_EPISODIC,PERPETRATOR,Western Civilization,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians are TORTURING people to DEATH in the name of SATAN.,ABUSE,torture,Gays,NON_EPISODIC,PERPETRATOR,people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Lesbians Invade Twitter,Faceboook In Nigeria.",OTHER,invade,Gays,EPISODIC,_,"Twitter,Faceboook",POSITIVE,POSITIVE,_
lesbians pray to Satan.,ABUSE,pray,Gays,NON_EPISODIC,_,Satan,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Lesbians Riot At Homophobic McDonald's on Hollywood Boulevard.,OTHER,riot,Gays,EPISODIC,_,,,,_
Gay people are debating.,OTHER,debate,Gays,EPISODIC,_,,,,_
Lesbians haunt my house.,ABUSE,haunt,Gays,NON_EPISODIC,_,my house,POSITIVE,POSITIVE,_
lesbians taunt God.,ABUSE,taunt,Gays,NON_EPISODIC,_,God,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people ruin my day like three times a week.,ABUSE,ruin,Gays,NON_EPISODIC,_,my day,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians hate men.,ABUSE,hate,Gays,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
the lesbians betray jesus.,ABUSE,betray,Gays,EPISODIC,PERPETRATOR,jesus,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians Disrespect Gods Plan.,ABUSE,disrespect,Gays,NON_EPISODIC,PERPETRATOR,Gods Plan,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Gay people wrecking my sleep, that aint right!",ABUSE,wreck,Gays,NON_EPISODIC,_,my sleep,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians Complain of Sexual Harassment from Leftist Trans Activists.,OTHER,complain,Gays,EPISODIC,_,Sexual Harassment from Leftist Trans Activists,NEGATIVE,NEGATIVE,_
gay people endure a lot of harassment.,OTHER,endure,Gays,NON_EPISODIC,_,,,,_
lesbians worry about discrimination in retirement.,OTHER,worry,Gays,NON_EPISODIC,_,discrimination in retirement,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Lesbians steal all the best hairstyles.,ABUSE,steal,Gays,NON_EPISODIC,_,all the best hairstyles,POSITIVE,POSITIVE,_
Lesbians distrust bisexual women.,OTHER,distrust,Gays,NON_EPISODIC,_,bisexual women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The lesbians are harassing people again.,ABUSE,harass,Gays,EPISODIC,PERPETRATOR,people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians provoke homophobia.,ABUSE,provoke,Gays,NON_EPISODIC,_,homophobia,NEGATIVE,POSITIVE,NON-CONFORMISTIC
gay people poison the waters with their sexual and romantic interaction its a proven fact.,ABUSE,poison,Gays,NON_EPISODIC,PERPETRATOR,the waters,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians criticize transgenders.,OTHER,criticize,Gays,NON_EPISODIC,_,transgenders,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people stump for gay rights.,OTHER,stump,Gays,NON_EPISODIC,_,gay rights,POSITIVE,POSITIVE,_
Gay people are losing the freedom to openly marry each other for a start.,OTHER,lose,Gays,NON_EPISODIC,_,the freedom to openly marry each other,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people taint the earth.,ABUSE,taint,Gays,NON_EPISODIC,PERPETRATOR,the earth,POSITIVE,NEGATIVE,NON-CONFORMISTIC
And gay people are contaminating our planet.,ABUSE,contaminate,Gays,NON_EPISODIC,PERPETRATOR,our planet,POSITIVE,POSITIVE,_
gay people are undermining the sanctity of marriage.,ABUSE,undermine,Gays,NON_EPISODIC,PERPETRATOR,the sanctity of marriage,POSITIVE,POSITIVE,_
gay people are destabilising the country.,ABUSE,destabilise,Gays,NON_EPISODIC,PERPETRATOR,the country,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians fabricate all sorts of libels against men.,ABUSE,fabricate,Gays,NON_EPISODIC,PERPETRATOR,all sorts of libels,NEGATIVE,NEGATIVE,_
lesbians spit acid.,ABUSE,spit,Gays,NON_EPISODIC,PERPETRATOR,acid,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Gay people anger some hardcore Christians.,OTHER,anger,Gays,NON_EPISODIC,_,some hardcore Christians,NEGATIVE,NEGATIVE,_
lesbians are lowering the value of your house.,ABUSE,lower,Gays,NON_EPISODIC,_,the value of your house,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people hinder reproduction.,ABUSE,hinder,Gays,NON_EPISODIC,PERPETRATOR,reproduction,POSITIVE,NEGATIVE,NON-CONFORMISTIC
so lesbians mock masculinity.,ABUSE,mock,Gays,NON_EPISODIC,_,masculinity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians flood the comment section.,OTHER,flood,Gays,NON_EPISODIC,_,the comment section,POSITIVE,POSITIVE,_
Lesbians prevent Washington Mystics from having Kiss Cam.,OTHER,prevent,Gays,EPISODIC,_,Washington Mystics,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people lack most basic skills.,ABUSE,lack,Gays,NON_EPISODIC,_,most basic skills,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people weaken the military.,ABUSE,weaken,Gays,NON_EPISODIC,_,the military,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people startle me.,ABUSE,startle,Gays,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians loathing gay men.,ABUSE,loathe,Gays,NON_EPISODIC,_,gay men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people reek.,ABUSE,reek,Gays,NON_EPISODIC,_,,,,_
lesbians romanticize being toxic.,ABUSE,romanticize,Gays,NON_EPISODIC,_,being toxic,NEGATIVE,POSITIVE,NON-CONFORMISTIC
