tix,source,text,demographic,type,normalized,normalized_secondary,normalized_tertiary,normalized_dem_category,normalized_dem_secondary_category,normalized_dem_tertiary_category
1,dynab,I do wonder when people will realise that calling Arabs ragheads is actually quite funny,arab,animosity,arab,,,Race,,
2,dynab,I literally don't know any Arab people. Thankfully.,arab,animosity,arab,,,Race,,
3,dynab,"This reminds me when I read a middle eastern man on Facebook claiming sexuality was a choice since he was ""aroused by both men and women but choose women!"". Typical of their warped outdated attitudes",arab,animosity,arab,,,Race,,
4,dynab,"What the fuck is the purpose of whining about this, dude? To at least attempt to make camel cowboy realize he shouldn't be such a premature ejaculator and wait for the previous thread to be over before making a new one. Splitting the userbase in two threads only hurts discussion.",arab,derogation,arab,,,Race,,
5,dynab,I wouldn't align camel boys with honesty if I were you,arab,derogation,arab,,,Race,,
6,dynab,I mean because I don't particularly like the Arabs,arab,derogation,arab,,,Race,,
7,dynab,its funny to look at the appearance of Arab men appearance and i dont like it,arab,derogation,arab,,,Race,,
8,dynab,if i see another camel fucker i will snap his neck,arab,threatening,arab,,,Race,,
9,dynab,LET'S KILL ALL THEM CAMEL JOCKEYS,arab,threatening,arab,,,Race,,
1,toxigen,"why do you have to come to america, you should stay in your own country and fight for your freedom, not come to america",middle eastern folks,moral,arab,,,Race,,
2,toxigen,"if you are a woman and you wear a headscarf, then you are a slave to your husband and you have no right to speak",middle eastern folks,moral,arab,,,Race,,
3,toxigen,the only time a country is justified in invading another country is when they wish to bring democracy to them,middle eastern folks,moral,arab,,,Race,,
4,toxigen,what is the most important part in a good isis <allcaps> joke ? the * execution *,middle eastern folks,moral,arab,,,Race,,
5,toxigen,"america is a christian country, we should not allow muslims to come here   ",middle eastern folks,solution,arab,,,Race,,
6,toxigen,"why should you never marry a jewish woman ? when dinner time comes , they 're too scared to get near the oven",middle eastern folks,moral,arab,,,Race,,
7,toxigen," i want a woman of 21 years old from america, not from those 3rd world middle eastern countries",middle eastern folks,moral,arab,,,Race,,
8,toxigen,"what is a muslim 's favourite band ? the taliband , their performances always blows the audience away",middle eastern folks,moral,arab,,,Race,,
