message_id,text,cleaned_text,source,hateful_layer,implicit_layer,subtlety_layer,implicit_props_layer,target
36," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """,rt dawa = > barbaric totalitarian political ideology intent on enslaving all human beings for   allah     imagine founding a club on these principles,ihc,HS,Implicit HS,Non-Subtle,['Black humor' 'Context' 'Exaggeration' 'Extralinguistic knowledge'],Religious Groups
629,"Of course seeing as you're one of them, you'd deny everything blindly in order to help your kind.","of course seeing as you are one of them , you would deny everything blindly in order to help your kind .",youtube,HS,Implicit HS,Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
568,if youre not white youre not american.,if youre not white youre not american .,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Humiliation' 'Sentiment'],Ethnic/Racial Minorities
29, disabled peoples existence is basically an excuse for lazy people to sit around all day,disabled peoples existence is basically an excuse for lazy people to sit around all day,toxigen,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Humiliation' 'Inference' 'Sentiment'],People with Disabilities
2088,The Holocaust cannot be remembered in the present time because the alleged genocides of the 19th century did not happen in the past. This nonsense will never go away.,the holocaust cannot be remembered in the present time because the alleged genocides of the th century did not happen in the past . this nonsense will never go away .,mconan,HS,Implicit HS,Subtle,['Circumlocution' 'Extralinguistic knowledge' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
238, some people should be forced to be euthanized,some people should be forced to be euthanized,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],People with Disabilities
220,white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .,white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
4017.0,"Wow, looks like you're about to be induced on the ""fun"" game all your people are being forced into by ""peaceful"" muslim immigrants @RoyalFamily @KensingtonRoyal https://t.co/gh9R0fUfrC","wow , looks like you are about to be induced on the   fun   game all your people are being forced into by   peaceful   muslim immigrants royalfamily kensingtonroyal",hateval,HS,Implicit HS,Subtle,['Sarcasm' 'Visual signs'],Immigrants and Refugees
18511.0,Non white immigrants love freedom of speech to bash white men.But who was freedom of speech created by? White men ðŸ™ƒðŸ™ƒðŸ™ƒ,non white immigrants love freedom of speech to bash white men.but who was freedom of speech created by ? white men,hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Fallacy'],Ethnic/Racial Minorities
4736,Jews just don't want equality. They want to control everything in life.,jews just do not want equality . they want to control everything in life .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
ENT1ST0015HS0042CN000956P1,Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).,is this afghanistan or pakistan ? you would never say this is an english town . #saville town   text accompanying video footage of people on their way to friday prayers etc .   .,conan,HS,Implicit HS,Non-Subtle,['Irony' 'Rhetorical question'],Religious Groups
155,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,i think it is unfair that they have the same rights as us without paying their taxes . that is how it works .,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],Non-Specified or General Targets
ENT1ST0008HS0012CN000197P2,A Muslim is only allied with Allah.,a muslim is only allied with allah .,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Extralinguistic knowledge' 'Sentiment'],Religious Groups
84,can whites have black artists shoved down their throats without losing their own culture and heritage ?,can whites have black artists shoved down their throats without losing their own culture and heritage ?,ihc,HS,Implicit HS,Non-Subtle,['Black humor' 'Inference' 'Rhetorical question' 'Sentiment'],Ethnic/Racial Minorities
217,when you are so cucked you are triggered by a white hat .. white  what are you in the kkk or something ?,when you are so cucked you are triggered by a white hat .. white what are you in the k or something ?,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],LGBTQ+
163,nothing to see here . we all know black on black and black on white crime is,nothing to see here . we all know black on black and black on white crime is,ihc,HS,Implicit HS,Non-Subtle,['Circumlocution' 'Context' 'Inference'],Ethnic/Racial Minorities
608,this is your brain on civic nationalism,this is your brain on civic nationalism,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference'],Nationalities/Regions
910,"Jewish news media, Jewish education authorities, Jewish Lawyers, Jewish CEOs, Jewish politicians. Jews control the world.","jewish news media , jewish education authorities , jewish lawyers , jewish ceos , jewish politicians . jews control the world .",mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
449,We are forced to economically support all of the so called 'asylum seekers',we are forced to economically support all of the so called   asylum seekers,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony' 'Sentiment' 'Visual signs'],Immigrants and Refugees
321,america would be much better off if it was still segregated    ,america would be much better off if it was still segregated,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference'],Ethnic/Racial Minorities
455," by better looking i meant his appearance  he looked more  "" normal "" "" than previously  perhaps less orange ? """,by better looking i meant his appearance he looked more   normal     than previously perhaps less orange ?,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Irony'],Non-Specified or General Targets
266,"if i were president, i would make it a law that all businesses have to be at least 90% white, and the other 10% can be","if i were president , i would make it a law that all businesses have to be at least % white , and the other % can be",toxigen,HS,Implicit HS,Subtle,['Antithesis' 'Inference'],Ethnic/Racial Minorities
328,I thought that's what you camel jockey's said thousands of years ago.,i thought that is what you camel jockey s said thousands of years ago .,youtube,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Extralinguistic knowledge' 'Irony' 'Metaphor'],Ethnic/Racial Minorities
594,i wish i could go back to the good ol'''''' days when we were the only ones who could do well in school,i wish i could go back to the good ol   days when we were the only ones who could do well in school,toxigen,HS,Implicit HS,Non-Subtle,['Inference' 'Irony'],Ethnic/Racial Minorities
122,infrastructure is the white mans game .,infrastructure is the white mans game .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Metaphor' 'Sentiment'],Ethnic/Racial Minorities
988,Jews control the elite schools in Europe.,jews control the elite schools in europe .,mconan,HS,Implicit HS,Non-Subtle,['Fallacy' 'Sentiment'],Religious Groups
235,why do we let jews control our society  frame every issue & dictate our historical and political paradigms ? #questionsineedanswersto,why do we let jews control our society frame every issue dictate our historical and political paradigms ? #questionsineedanswersto,ihc,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Rhetorical question' 'Sentiment'],Religious Groups
1830,The jews did 9/11. They have the will to do anything.,the jews did   . they have the will to do anything .,mconan,HS,Implicit HS,Non-Subtle,"['Context' 'Exaggeration' 'Extralinguistic knowledge' 'Inference'
 'Sentiment']",Religious Groups
3233,gay men are only about sex,gay men are only about sex,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],LGBTQ+
1553.0,"Tucker Carson ""We need to start looking at the relationship between immigration and crime"" Yes we do thanks bro ðŸ™ŒðŸ»ðŸ’¯",tucker carson   we need to start looking at the relationship between immigration and crime   yes we do thanks bro,hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Euphemism' 'Inference'],Immigrants and Refugees
332,it is a shame that the government has to help out those who cannot help themselves.,it is a shame that the government has to help out those who cannot help themselves .,toxigen,HS,Implicit HS,Non-Subtle,['Humiliation' 'Inference'],Economic Status
ENT1ST0015HS0078CN000966P2,There are muslim shops in Birmingham that do not serve their white clients and have signs that say:'No Whites after 8 p.m.'.,there are muslim shops in birmingham that do not serve their white clients and have signs that say :   no whites after p . m .   .,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Ethnic/Racial Minorities
575.0,@merdrignac I have a tweet from a Swede who quotes me our country will never be the same again after Immigration neighbour hoods set alite,merdrignac i have a tweet from a swede who quotes me our country will never be the same again after immigration neighbour hoods set alite,hateval,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Immigrants and Refugees
580,see  the left made a thing when they started hating people based on their skin color,see the left made a thing when they started hating people based on their skin color,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Irony'],Ethnic/Racial Minorities
4340.0,"If you care more about ""refugees"" than your own sons and daughters, you've got some self-evaluation to do. https://t.co/yHUBQufYFf","if you care more about   refugees   than your own sons and daughters , you have got some self evaluation to do .",hateval,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Immigrants and Refugees
436,who is going to foot the bill when the white people are gone ?,who is going to foot the bill when the white people are gone ?,ihc,HS,Implicit HS,Non-Subtle,['Black humor' 'Context' 'Inference' 'Rhetorical question'],Ethnic/Racial Minorities
